breathe	breathes	breathing	breathed
snuffle	snuffles	snuffling	snuffled
sweat	sweats	sweating	sweated
sudate	sudates	sudating	sudated
perspire	perspires	perspiring	perspired
superfetate	superfetates	superfetating	superfetated
exude	exudes	exuding	exuded
exudate	exudates	exudating	exudated
transude	transudes	transuding	transuded
ooze	oozes	oozing	oozed
distill	distils	distilling	distilled
distil	distils	distilling	distilled
reek	reeks	reeking	reeked
fume	fumes	fuming	fumed
transpire	transpires	transpiring	transpired
extravasate	extravasates	extravasating	extravasated
stream	streams	streaming	streamed
gum	gums	gumming	gummed
secrete	secretes	secreting	secreted
release	releases	releasing	released
water	waters	watering	watered
swelter	swelters	sweltering	sweltered
injure	injures	injuring	injured
wind	winds	winding	wound
trample	tramples	trampling	trampled
concuss	concusses	concussing	concussed
calk	calks	calking	calked
trouble	troubles	troubling	troubled
ail	ails	ailing	ailed
pain	pains	paining	pained
torture	tortures	torturing	tortured
excruciate	excruciates	excruciating	excruciated
torment	torments	tormenting	tormented
rack	racks	racking	racked
martyr	martyrs	martyring	martyred
martyrize	martyrizes	martyrizing	martyrized
martyrise	martyrises	martyrising	martyrised
pull	pulls	pulling	pulled
overstretch	overstretches	overstretching	overstretched
urinate	urinates	urinating	urinated
piddle	piddles	piddling	piddled
puddle	puddles	puddling	puddled
micturate	micturates	micturating	micturated
piss	pisses	pissing	pissed
pee	pees	peeing	peed
pee-pee	pee-pees	pee-peeing	pee-peeed
wee	wees	weeing	weeed
wee-wee	wee-wees	wee-weeing	wee-weed
wet	wets	wetting	wetted
stale	stales	staling	staled
excrete	excretes	excreting	excreted
egest	egests	egesting	egested
eliminate	eliminates	eliminating	eliminated
pass	passes	passing	passed
evacuate	evacuates	evacuating	evacuated
void	voids	voiding	voided
empty	empties	emptying	emptied
suction	suctions	suctioning	suctioned
purge	purges	purging	purged
stool	stools	stooling	stooled
defecate	defecates	defecating	defecated
shit	shits	shitting	shit
ca-ca	ca-cas	ca-caing	ca-caed
crap	craps	crapping	crapped
dung	dungs	dunging	dunged
constipate	constipates	constipating	constipated
bind	binds	binding	binded
obstipate	obstipates	obstipating	obstipated
bleed	bleeds	bleeding	bled
hemorrhage	hemorrhages	hemorrhaging	hemorrhaged
tire	tires	tiring	tired
weary	wearies	wearying	wearied
jade	jades	jading	jaded
outwear	outwears	outwearing	outwore	outworn
fag	fags	fagging	fagged
fatigue	fatigues	fatiguing	fatigued
exhaust	exhausts	exhausting	exhausted
beat	beats	beating	beaten
tucker	tuckers	tuckering	tuckered
frazzle	frazzles	frazzling	frazzled
overtire	overtires	overtiring	overtired
overweary	overwearies	overwearying	overwearied
overfatigue	overfatigues	overfatigueing	overfatigueed
pall	palls	palling	palled
vomit	vomits	vomiting	vomited
cast	casts	casting	cast
sick	sicks	sicking	sicked
cat	cats	catting	catted
disgorge	disgorges	disgorging	disgorged
regorge	regorges	regorging	regorged
retch	retches	retching	retched
puke	pukes	puking	puked
barf	barfs	barfing	barfed
spew	spews	spewing	spewed
spue	spues	spuing	spued
chuck	chucks	chucking	chucked
upchuck	upchucks	upchucking	upchucked
honk	honks	honking	honked
regurgitate	regurgitates	regurgitating	regurgitated
gag	gags	gagging	gagged
strangle	strangles	strangling	strangled
suffocate	suffocates	suffocating	suffocated
gnash	gnashes	gnashing	gnashed
treat	treats	treating	treated
correct	corrects	correcting	corrected
detox	detoxes	detoxing	detoxed
detoxify	detoxifies	detoxifying	detoxified
irrigate	irrigates	irrigating	irrigated
iodize	iodizes	iodizing	iodized
iodise	iodises	iodising	iodised
doctor	doctors	doctoring	doctored
vet	vets	vetting	vetted
nurse	nurses	nursing	nursed
manipulate	manipulates	manipulating	manipulated
administer	administers	administering	administered
dispense	dispenses	dispensing	dispensed
transfuse	transfuses	transfusing	transfused
digitalize	digitalizes	digitalizing	digitalized
cure	cures	curing	cured
heal	heals	healing	healed
help	helps	helping	helped
aid	aids	aiding	aided
comfort	comforts	comforting	comforted
ease	eases	easing	eased
